iter	Passed	Remaining
597	4544	3055
598	4553	3048
599	4560	3040
600	4568	3033
601	4575	3025
602	4583	3017
603	4590	3009
604	4598	3002
605	4605	2994
606	4612	2986
607	4620	2978
608	4627	2971
609	4635	2963
610	4644	2956
611	4651	2949
612	4659	2941
613	4666	2933
614	4672	2925
615	4680	2917
616	4688	2910
617	4697	2903
618	4705	2896
619	4714	2889
620	4722	2882
621	4730	2874
622	4738	2867
623	4746	2860
624	4755	2853
625	4761	2844
626	4769	2837
627	4776	2829
628	4784	2822
629	4792	2814
630	4799	2806
631	4807	2799
632	4815	2791
633	4823	2784
634	4831	2776
635	4838	2769
636	4845	2761
637	4853	2753
638	4871	2752
639	4880	2745
640	4890	2738
641	4898	2731
642	4904	2723
643	4913	2716
644	4920	2708
645	4927	2700
646	4933	2691
647	4942	2684
648	4949	2676
649	4956	2669
650	4963	2660
651	4972	2654
652	4979	2646
653	4988	2639
654	5026	2647
655	5033	2639
656	5041	2632
657	5048	2624
658	5056	2616
659	5064	2608
660	5071	2600
661	5079	2593
662	5087	2585
663	5095	2578
664	5102	2570
665	5109	2562
666	5116	2554
667	5125	2547
668	5134	2540
669	5142	2532
670	5151	2525
671	5159	2518
672	5166	2510
673	5174	2502
674	5182	2495
675	5189	2487
676	5196	2479
677	5203	2471
678	5211	2463
679	5219	2456
680	5226	2448
681	5234	2440
682	5241	2432
683	5248	2424
684	5257	2417
685	5264	2409
686	5271	2401
687	5278	2393
688	5286	2385
689	5293	2378
690	5300	2370
691	5307	2362
692	5314	2354
693	5322	2346
694	5331	2339
695	5339	2332
696	5346	2324
697	5356	2317
698	5364	2309
699	5371	2301
700	5379	2294
701	5387	2287
702	5396	2279
703	5402	2271
704	5409	2263
705	5416	2255
706	5423	2247
707	5431	2240
708	5437	2231
709	5447	2224
710	5456	2217
711	5463	2209
712	5471	2202
713	5479	2194
714	5488	2187
715	5495	2179
716	5503	2172
717	5511	2164
718	5520	2157
719	5528	2149
720	5536	2142
721	5544	2134
722	5553	2127
723	5562	2120
724	5570	2112
725	5576	2104
726	5583	2096
727	5592	2089
728	5599	2081
729	5607	2074
730	5614	2066
731	5620	2057
732	5627	2049
733	5635	2042
734	5642	2034
735	5650	2026
736	5657	2019
737	5665	2011
738	5673	2003
739	5680	1996
740	5688	1988
741	5696	1980
742	5703	1972
743	5710	1964
744	5718	1957
745	5726	1949
746	5734	1942
747	5742	1934
748	5749	1926
749	5758	1919
750	5765	1911
751	5774	1904
752	5782	1896
753	5790	1889
754	5798	1881
755	5804	1873
756	5812	1865
757	5819	1858
758	5827	1850
759	5836	1842
760	5848	1836
761	5860	1830
762	5869	1823
763	5882	1817
764	5891	1809
765	5897	1801
766	5906	1794
767	5916	1787
768	5924	1779
769	5931	1771
770	5939	1764
771	5947	1756
772	5955	1748
773	5963	1741
774	5972	1733
775	5980	1726
776	5988	1718
777	5996	1711
778	6004	1703
779	6013	1696
780	6022	1688
781	6031	1681
782	6040	1674
783	6049	1666
784	6057	1659
785	6066	1651
786	6075	1644
787	6083	1636
788	6092	1629
789	6098	1621
790	6106	1613
791	6114	1605
792	6124	1598
793	6135	1591
794	6142	1583
795	6151	1576
796	6158	1568
797	6167	1561
798	6177	1553
799	6184	1546
800	6191	1538
801	6199	1530
802	6206	1522
803	6214	1515
804	6222	1507
805	6229	1499
806	6235	1491
807	6245	1484
808	6253	1476
809	6262	1468
